Domain,Subdomain,Job Roles
Software Development,Front-End Development,Front-End Developer, Web Designer, UX/UI Designer
Software Development,Back-End Development,Back-End Developer, Database Developer
Software Development,Full-Stack Development,Full-Stack Developer
Software Development,Mobile Development,Mobile App Developer, Android Developer, iOS Developer
Software Development,DevOps,DevOps Engineer, Site Reliability Engineer (SRE)
Software Development,Quality Assurance,QA/Test Engineer, Automation Tester
Software Development,Game Development,Game Developer
Data Science,Data Analysis,Data Analyst, Business Intelligence Analyst
Data Science,Machine Learning,Machine Learning Engineer
Data Science,Artificial Intelligence,AI Specialist, AI Research Scientist
Data Science,Data Engineering,Data Engineer, Data Architect
Cybersecurity,Security Analysis,Security Analyst, Security Engineer
Cybersecurity,Ethical Hacking,Penetration Tester (Ethical Hacker)
Cybersecurity,Security Architecture,Security Architect, Network Security Engineer
Cybersecurity,Incident Response,Incident Responder, Cybersecurity Specialist
Cybersecurity,Governance, Risk, and Compliance (GRC),Security Compliance Specialist, GRC Analyst
Cloud Computing,Cloud Engineering,Cloud Engineer, Cloud Infrastructure Engineer
Cloud Computing,Cloud Architecture,Cloud Architect
Cloud Computing,Cloud Security,Cloud Security Specialist
Cloud Computing,Cloud Administration,Cloud Administrator, Cloud Operations Manager
Cloud Computing,DevOps,DevOps Engineer, Site Reliability Engineer (SRE)
Database Management,Database Administration,Database Administrator (DBA), Database Manager
Database Management,Data Engineering,Data Engineer, Data Architect
Database Management,Database Development,Database Developer, SQL Developer
Database Management,Data Analysis,Data Analyst, Business Intelligence Analyst
DevOps & Agile,DevOps Engineering,DevOps Engineer, Build Engineer, Continuous Integration Engineer
DevOps & Agile,Agile Management,Agile Coach, Scrum Master
DevOps & Agile,Release Management,Release Manager, Deployment Manager
